participant-adress,202.8121,start preview hololens,virtual,na
participant-adress,205.247,reset virtual camera position,na,na
participant-adress,205.247,virtual view,na,205,247
participant-adress,205.5632,stop preview,virtual,2,751099
participant-adress,208.6172,start preview hololens,virtual,na
participant-adress,209.335,stop preview,virtual,0,717804
participant-adress,276.2037,start preview hololens,virtual,na
participant-adress,283.462,stop preview,virtual,7,258301
participant-adress,284.4963,start preview hololens,virtual,na
participant-adress,288.0165,stop preview,virtual,3,520203
participant-adress,288.047,start preview hololens,virtual,na
participant-adress,289.0494,stop preview,virtual,1,002411
participant-adress,289.0494,hololens view,na,83,80241
participant-adress,298.1731,virtual view,na,9,123688
participant-adress,327.9813,start preview hololens,virtual,na
participant-adress,327.9997,stop preview,virtual,0,0184021
participant-adress,329.0827,start preview hololens,virtual,na
participant-adress,330.0118,stop preview,virtual,0,9291077
participant-adress,339.1599,start preview kinect,virtual,na
participant-adress,341.8827,stop preview,virtual,2,722778
participant-adress,355.7209,start preview hololens,virtual,na
participant-adress,355.7689,stop preview,virtual,0,04800415
participant-adress,369.0643,start preview hololens,virtual,na
participant-adress,370.7159,stop preview,virtual,1,651611
participant-adress,371.1517,start preview hololens,virtual,na
participant-adress,371.9341,stop preview,virtual,0,7824097
participant-adress,372.0521,start preview kinect,virtual,na
participant-adress,373.0705,stop preview,virtual,1,018402
participant-adress,373.1334,start preview hololens,virtual,na
participant-adress,373.2676,stop preview,virtual,0,1342163
participant-adress,373.2857,start preview hololens,virtual,na
participant-adress,374.52,stop preview,virtual,1,234283
participant-adress,375.8359,start preview hololens,virtual,na
participant-adress,376.6712,stop preview,virtual,0,8352966
participant-adress,378.8721,start preview hololens,virtual,na
participant-adress,379.0567,stop preview,virtual,0,1846008
participant-adress,379.3233,start preview hololens,virtual,na
participant-adress,379.7722,stop preview,virtual,0,4488831
participant-adress,379.9241,start preview hololens,virtual,na
participant-adress,380.8092,stop preview,virtual,0,8851013
participant-adress,380.8092,hololens view,na,82,63611
participant-adress,381.4748,start preview kinect,hololens,na
participant-adress,382.426,stop preview,hololens,0,9512024
participant-adress,382.5736,start preview kinect,hololens,na
participant-adress,383.2106,stop preview,hololens,0,6369934
participant-adress,383.7106,start preview hololens,hololens,na
participant-adress,384.3286,kinect view,na,3,519409
participant-adress,384.7285,stop preview,kinect,1,017883
participant-adress,384.8443,start preview virtual,kinect,na
participant-adress,385.1298,stop preview,kinect,0,2854919
participant-adress,385.7132,start preview virtual,kinect,na
participant-adress,386.2311,stop preview,kinect,0,5179138
participant-adress,386.2472,start preview virtual,kinect,na
participant-adress,387.0956,stop preview,kinect,0,8484192
participant-adress,387.7971,start preview virtual,kinect,na
participant-adress,387.8646,stop preview,kinect,0,06750488
participant-adress,388.1967,virtual view,na,3,868073
participant-adress,390.5339,start preview kinect,virtual,na
participant-adress,391.2521,stop preview,virtual,0,7182007
participant-adress,404.9788,show camera position,na,na
participant-adress,407.697,start preview hololens,virtual,na
participant-adress,407.828,stop preview,virtual,0,131012
participant-adress,416.5723,start preview hololens,virtual,na
participant-adress,416.6101,stop preview,virtual,0,03781128
participant-adress,420.8133,start preview hololens,virtual,na
participant-adress,420.9892,stop preview,virtual,0,1759033
participant-adress,421.447,start preview hololens,virtual,na
participant-adress,423.6108,stop preview,virtual,2,163818
participant-adress,448.5847,reset virtual camera position,na,na
participant-adress,456.4917,start using stick,virtual,na
participant-adress,456.8102,stop using stick,virtual,0,318512
participant-adress,457.3758,start using stick,virtual,na
participant-adress,460.7805,stop using stick,virtual,3,404694
participant-adress,463.3626,start using stick,virtual,na
participant-adress,464.5143,stop using stick,virtual,1,151703
participant-adress,465.6825,start using stick,virtual,na
participant-adress,469.2703,stop using stick,virtual,3,587799
participant-adress,471.6024,start using stick,virtual,na
participant-adress,481.0112,stop using stick,virtual,9,408813
participant-adress,484.2121,start using stick,virtual,na
participant-adress,484.9854,stop using stick,virtual,0,7733154
participant-adress,510.0852,start use spherical camera,virtual,na
participant-adress,510.1264,stop use spherical camera,virtual,0,04119873
participant-adress,510.1264,stop use spherical camera,virtual,0,04119873
participant-adress,526.5988,start using stick,virtual,na
participant-adress,541.0633,stop using stick,virtual,14,46448
participant-adress,544.798,reset virtual camera position,na,na
participant-adress,546.598,start using stick,virtual,na
participant-adress,546.7842,stop using stick,virtual,0,1861572
participant-adress,565.4341,start use spherical camera,virtual,na
participant-adress,566.3688,stop use spherical camera,virtual,0,9346924
participant-adress,566.3688,stop use spherical camera,virtual,0,9346924
participant-adress,567.8356,virtual view,na,179,6389
participant-adress,575.2256,reset virtual camera position,na,na
participant-adress,581.3281,start preview hololens,virtual,na
participant-adress,582.0613,stop preview,virtual,0,7331543
participant-adress,582.828,start preview hololens,virtual,na
participant-adress,582.8623,stop preview,virtual,0,03430176
participant-adress,635.0391,start preview hololens,virtual,na
participant-adress,635.1559,stop preview,virtual,0,1167603
participant-adress,635.7906,start preview hololens,virtual,na
participant-adress,636.5289,stop preview,virtual,0,7382813
participant-adress,636.5767,start preview kinect,virtual,na
participant-adress,637.246,stop preview,virtual,0,6692505
participant-adress,637.28,start preview hololens,virtual,na
participant-adress,637.3417,stop preview,virtual,0,06164551
participant-adress,637.3605,start preview hololens,virtual,na
participant-adress,637.7584,stop preview,virtual,0,3979492
participant-adress,637.7753,start preview hololens,virtual,na
participant-adress,637.7934,stop preview,virtual,0,01806641
participant-adress,637.8603,start preview kinect,virtual,na
participant-adress,638.9094,stop preview,virtual,1,049133
participant-adress,638.9601,start preview hololens,virtual,na
participant-adress,640.0101,stop preview,virtual,1,049988
participant-adress,640.0449,stop preview,virtual,1,084839
participant-adress,640.0262,start preview hololens,virtual,na
participant-adress,640.0931,start preview kinect,virtual,na
participant-adress,640.6117,stop preview,virtual,0,5186157
participant-adress,640.6306,start preview hololens,virtual,na
participant-adress,640.6603,stop preview,virtual,0,02966309
participant-adress,640.6773,start preview hololens,virtual,na
participant-adress,641.0986,stop preview,virtual,0,4212646
participant-adress,641.1632,start preview kinect,virtual,na
participant-adress,641.6602,stop preview,virtual,0,4970093
participant-adress,641.6955,start preview hololens,virtual,na
participant-adress,641.7298,stop preview,virtual,0,03430176
participant-adress,641.7463,start preview hololens,virtual,na
participant-adress,642.3931,stop preview,virtual,0,6468506
participant-adress,642.4127,start preview hololens,virtual,na
participant-adress,642.5477,stop preview,virtual,0,1350098
participant-adress,642.8468,start preview kinect,virtual,na
participant-adress,643.0293,stop preview,virtual,0,1824951
participant-adress,652.9879,start use spherical camera,virtual,na
participant-adress,658.041,stop use spherical camera,virtual,5,053101
participant-adress,658.041,stop use spherical camera,virtual,5,053101
participant-adress,659.4767,virtual view,na,91,64111
participant-adress,671.8204,start use spherical camera,virtual,na
participant-adress,677.1412,stop use spherical camera,virtual,5,320801
participant-adress,677.1412,stop use spherical camera,virtual,5,320801
participant-adress,677.3045,start use spherical camera,virtual,na
participant-adress,682.3262,stop use spherical camera,virtual,5,021667
participant-adress,712.52,start preview virtual,virtual,na
participant-adress,712.5374,stop preview,virtual,0,01739502
participant-adress,713.1537,start preview virtual,virtual,na
participant-adress,713.1688,stop preview,virtual,0,01513672
participant-adress,713.2083,start preview hololens,virtual,na
participant-adress,713.3871,stop preview,virtual,0,178772
participant-adress,713.4194,start preview hololens,virtual,na
participant-adress,714.1397,stop preview,virtual,0,7203369
participant-adress,718.8575,start preview kinect,virtual,na
participant-adress,718.9165,stop preview,virtual,0,059021
participant-adress,719.0966,start preview hololens,virtual,na
participant-adress,719.1797,stop preview,virtual,0,08306885
participant-adress,719.2262,start preview hololens,virtual,na
participant-adress,720.2791,stop preview,virtual,1,052917
participant-adress,720.3026,start preview kinect,virtual,na
participant-adress,721.0213,stop preview,virtual,0,718689
participant-adress,721.0369,start preview hololens,virtual,na
participant-adress,721.3113,stop preview,virtual,0,274353
participant-adress,721.3289,start preview virtual,virtual,na
participant-adress,721.9489,stop preview,virtual,0,6199951
participant-adress,767.6552,virtual view,na,108,1785
participant-adress,789.6663,start preview hololens,virtual,na
participant-adress,791.2171,stop preview,virtual,1,550781
participant-adress,791.2358,start preview hololens,virtual,na
participant-adress,791.2858,stop preview,virtual,0,05004883
participant-adress,791.4321,start preview kinect,virtual,na
participant-adress,792.1196,stop preview,virtual,0,6875
participant-adress,792.3017,start preview hololens,virtual,na
participant-adress,792.6042,stop preview,virtual,0,3024902
participant-adress,792.6533,start preview kinect,virtual,na
participant-adress,793.1693,stop preview,virtual,0,5159912
participant-adress,793.2363,start preview hololens,virtual,na
participant-adress,793.4709,stop preview,virtual,0,2345581
participant-adress,793.4857,start preview hololens,virtual,na
participant-adress,796.5915,stop preview,virtual,3,105774
participant-adress,796.608,start preview hololens,virtual,na
participant-adress,799.1411,stop preview,virtual,2,533142
participant-adress,799.1735,start preview hololens,virtual,na
participant-adress,799.4588,stop preview,virtual,0,2852783
participant-adress,799.5721,start preview hololens,virtual,na
participant-adress,800.1736,stop preview,virtual,0,6015015
participant-adress,801.0757,hololens view,na,33,42047
participant-adress,820.1257,start preview kinect,hololens,na
participant-adress,820.5081,stop preview,hololens,0,3824463
