participant-adress,27.36196,start using stick,virtual,na
participant-adress,27.514,stop using stick,virtual,0,1520405
participant-adress,52.32184,start preview hololens,virtual,na
participant-adress,52.35612,stop preview,virtual,0,03428268
participant-adress,87.98445,start preview hololens,virtual,na
participant-adress,88.0245,stop preview,virtual,0,04004669
participant-adress,88.2515,start preview hololens,virtual,na
participant-adress,88.27332,stop preview,virtual,0,02182007
participant-adress,96.43677,start preview hololens,virtual,na
participant-adress,97.09296,stop preview,virtual,0,656189
participant-adress,101.8529,start preview hololens,virtual,na
participant-adress,101.9008,stop preview,virtual,0,04790497
participant-adress,135.3417,start preview hololens,virtual,na
participant-adress,135.3812,stop preview,virtual,0,03948975
participant-adress,150.7377,start preview hololens,virtual,na
participant-adress,192.0996,stop preview,virtual,41,36189
participant-adress,200.8513,hololens view,na,200,8513
participant-adress,1413.476,reset virtual camera position,na,na
participant-adress,1414.584,virtual view,na,1213,733
participant-adress,1444.792,start preview hololens,virtual,na
participant-adress,1450.409,stop preview,virtual,5,617065
participant-adress,1466.8,start preview hololens,virtual,na
participant-adress,1480.64,stop preview,virtual,13,83997
participant-adress,1502.514,start preview hololens,virtual,na
participant-adress,1503.58,stop preview,virtual,1,065918
participant-adress,1503.686,start preview kinect,virtual,na
participant-adress,1503.767,stop preview,virtual,0,08093262
participant-adress,1503.977,start preview kinect,virtual,na
participant-adress,1504.002,stop preview,virtual,0,02490234
participant-adress,1504.03,start preview kinect,virtual,na
participant-adress,1504.622,stop preview,virtual,0,5919189
participant-adress,1504.622,hololens view,na,90,03796
participant-adress,1506.025,start preview virtual,hololens,na
participant-adress,1506.075,stop preview,hololens,0,04992676
participant-adress,1506.125,start preview virtual,hololens,na
participant-adress,1507.027,stop preview,hololens,0,9019775
participant-adress,1507.344,start preview hololens,hololens,na
participant-adress,1508.151,virtual view,na,3,529053
participant-adress,1509.06,stop preview,virtual,1,716064
participant-adress,1509.121,start preview hololens,virtual,na
participant-adress,1509.591,stop preview,virtual,0,4699707
participant-adress,1510.639,hololens view,na,2,488037
participant-adress,1512.024,start preview kinect,hololens,na
participant-adress,1512.926,stop preview,hololens,0,9019775
participant-adress,1514.042,kinect view,na,3,402954
participant-adress,1514.878,start preview hololens,kinect,na
participant-adress,1514.907,stop preview,kinect,0,02893066
participant-adress,1514.96,start preview virtual,kinect,na
participant-adress,1515.341,stop preview,kinect,0,3809814
participant-adress,1515.992,start preview hololens,kinect,na
participant-adress,1516.05,stop preview,kinect,0,05810547
participant-adress,1516.479,virtual view,na,2,437012
participant-adress,1528.892,show camera position,na,na
participant-adress,1529.394,show camera position,na,na
participant-adress,1530.939,start preview hololens,virtual,na
participant-adress,1531.489,stop preview,virtual,0,5500488
participant-adress,1532.189,start preview hololens,virtual,na
participant-adress,1532.771,stop preview,virtual,0,5820313
participant-adress,1532.935,start preview hololens,virtual,na
participant-adress,1533.403,stop preview,virtual,0,4678955
participant-adress,1542.688,show camera position,na,na
participant-adress,1542.947,show camera position,na,na
participant-adress,1546.167,show camera position,na,na
participant-adress,1546.531,show camera position,na,na
participant-adress,1546.958,show camera position,na,na
participant-adress,1547.272,show camera position,na,na
