participant-adress,3.864977,start preview hololens,virtual,na
participant-adress,4.330752,stop preview,virtual,0,465775
participant-adress,4.36327,start preview kinect,virtual,na
participant-adress,4.664779,stop preview,virtual,0,3015094
participant-adress,4.681643,start preview hololens,virtual,na
participant-adress,4.829652,stop preview,virtual,0,1480088
participant-adress,5.197546,start preview hololens,virtual,na
participant-adress,5.297326,stop preview,virtual,0,09978008
participant-adress,5.330039,start preview kinect,virtual,na
participant-adress,5.499249,stop preview,virtual,0,16921
participant-adress,5.514544,start preview kinect,virtual,na
participant-adress,5.565093,stop preview,virtual,0,05054903
participant-adress,5.647328,start preview kinect,virtual,na
participant-adress,5.699571,stop preview,virtual,0,05224323
participant-adress,5.714872,start preview hololens,virtual,na
participant-adress,5.799603,stop preview,virtual,0,0847311
participant-adress,6.049,start preview hololens,virtual,na
participant-adress,6.1151,stop preview,virtual,0,06610012
participant-adress,6.146935,start preview kinect,virtual,na
participant-adress,6.331629,stop preview,virtual,0,1846938
participant-adress,6.331629,start preview hololens,virtual,na
participant-adress,6.381205,stop preview,virtual,0,04957628
participant-adress,6.548125,start preview hololens,virtual,na
participant-adress,6.581756,stop preview,virtual,0,03363132
participant-adress,6.598738,start preview kinect,virtual,na
participant-adress,6.631085,stop preview,virtual,0,03234673
