participant-adress,38.0155,start preview kinect,virtual,na
participant-adress,38.22109,stop preview,virtual,0,2055893
participant-adress,39.44518,kinect view,na,39,44518
participant-adress,27.7777,start preview kinect,kinect,na
participant-adress,28.29239,stop preview,kinect,0,5146904
participant-adress,12.42743,start using stick,kinect,na
participant-adress,20.66258,stop using stick,kinect,8,23515
participant-adress,69.7411,start using stick,kinect,na
participant-adress,75.88539,stop using stick,kinect,6,144295
participant-adress,105.0858,start using stick,kinect,na
participant-adress,106.7377,stop using stick,kinect,1,651901
participant-adress,109.7253,start using stick,kinect,na
participant-adress,113.919,stop using stick,kinect,4,193695
participant-adress,138.045,start preview kinect,kinect,na
participant-adress,138.1916,stop preview,kinect,0,1466064
participant-adress,139.3654,kinect view,na,99,92023
participant-adress,140.5225,start using stick,kinect,na
participant-adress,146.4826,stop using stick,kinect,5,960098
participant-adress,322.7463,start using stick,kinect,na
participant-adress,330.3548,stop using stick,kinect,7,60849
participant-adress,335.774,start using stick,kinect,na
participant-adress,342.2294,stop using stick,kinect,6,455414
participant-adress,344.8239,virtual view,na,205,4585
participant-adress,358.4111,start preview kinect,virtual,na
participant-adress,358.4821,stop preview,virtual,0,07098389
participant-adress,359.7727,kinect view,na,14,94879
participant-adress,361.6712,start using stick,kinect,na
participant-adress,373.2256,stop using stick,kinect,11,55438
participant-adress,383.4587,virtual view,na,23,686
participant-adress,385.3732,start preview kinect,virtual,na
participant-adress,385.7372,stop preview,virtual,0,3640137
participant-adress,386.9614,kinect view,na,3,502686
participant-adress,14.51896,start preview kinect,kinect,na
participant-adress,16.99672,stop preview,kinect,2,477759
participant-adress,18.3441,start using stick,kinect,na
participant-adress,23.66956,stop using stick,kinect,5,325459
participant-adress,15.07335,start using stick,kinect,na
participant-adress,21.42221,stop using stick,kinect,6,348861
participant-adress,19.80306,start preview kinect,kinect,na
participant-adress,21.05577,stop preview,kinect,1,25271
participant-adress,24.2104,start using stick,kinect,na
participant-adress,32.18281,stop using stick,kinect,7,972412
participant-adress,9.238575,start using stick,kinect,na
participant-adress,12.10513,stop using stick,kinect,2,866555
participant-adress,21.33378,reset virtual camera position,na,na
participant-adress,22.00045,reset virtual camera position,na,na
participant-adress,22.32793,reset virtual camera position,na,na
participant-adress,56.02321,start using stick,kinect,na
participant-adress,62.2264,stop using stick,kinect,6,20319
