participant-adress,27.09093,start preview hololens,virtual,na
participant-adress,28.11913,stop preview,virtual,1,028198
participant-adress,28.17729,start preview kinect,virtual,na
participant-adress,28.47332,stop preview,virtual,0,29603
participant-adress,28.94213,start preview kinect,virtual,na
participant-adress,30.32885,stop preview,virtual,1,386721
participant-adress,30.38361,start preview hololens,virtual,na
participant-adress,30.57555,stop preview,virtual,0,1919403
participant-adress,30.88853,start preview hololens,virtual,na
participant-adress,33.90561,stop preview,virtual,3,017078
participant-adress,33.97179,start preview kinect,virtual,na
participant-adress,34.12523,stop preview,virtual,0,1534386
participant-adress,34.25674,start preview kinect,virtual,na
participant-adress,35.40498,stop preview,virtual,1,148239
participant-adress,35.46283,start preview hololens,virtual,na
participant-adress,35.58599,stop preview,virtual,0,1231613
participant-adress,35.78107,start preview hololens,virtual,na
participant-adress,36.90735,stop preview,virtual,1,126278
participant-adress,38.05486,hololens view,na,38,05486
participant-adress,39.0132,start preview kinect,hololens,na
participant-adress,39.98085,stop preview,hololens,0,9676514
participant-adress,40.0926,start preview kinect,hololens,na
participant-adress,40.51479,kinect view,na,2,45993
participant-adress,41.44236,stop preview,kinect,1,349758
participant-adress,41.4986,start preview hololens,kinect,na
participant-adress,42.84258,stop preview,kinect,1,343979
participant-adress,42.84258,hololens view,na,2,327789
participant-adress,49.49883,start preview kinect,hololens,na
participant-adress,49.75471,stop preview,hololens,0,2558823
participant-adress,49.94102,start preview kinect,hololens,na
participant-adress,50.73792,kinect view,na,7,89534
participant-adress,52.43385,stop preview,kinect,2,492828
participant-adress,18.49492,start preview hololens,kinect,na
participant-adress,19.18654,stop preview,kinect,0,6916199
participant-adress,20.98031,start using stick,kinect,na
participant-adress,23.84212,stop using stick,kinect,2,861809
participant-adress,26.06931,start using stick,kinect,na
participant-adress,31.10126,stop using stick,kinect,5,03195
participant-adress,31.68085,start preview kinect,kinect,na
participant-adress,32.37864,stop preview,kinect,0,6977901
participant-adress,32.49406,start preview hololens,kinect,na
participant-adress,32.9894,stop preview,kinect,0,4953384
