participant-adress,21.39792,start preview kinect,virtual,na
participant-adress,26.11071,stop preview,virtual,4,71279
participant-adress,58.44415,start preview hololens,virtual,na
participant-adress,76.37299,stop preview,virtual,17,92884
participant-adress,78.30608,start preview hololens,virtual,na
participant-adress,78.55594,stop preview,virtual,0,249855
participant-adress,119.8607,start preview hololens,virtual,na
participant-adress,119.9533,stop preview,virtual,0,09259796
participant-adress,159.7571,reset virtual camera position,na,na
participant-adress,159.8915,virtual view,na,159,8915
participant-adress,234.1838,start preview hololens,virtual,na
participant-adress,245.8535,stop preview,virtual,11,66969
participant-adress,247.1898,reset virtual camera position,na,na
participant-adress,262.7235,start preview hololens,virtual,na
participant-adress,262.8129,stop preview,virtual,0,08938599
participant-adress,279.8019,start preview hololens,virtual,na
participant-adress,280.2697,stop preview,virtual,0,467804
participant-adress,281.5199,hololens view,na,121,6284
participant-adress,288.7634,start preview kinect,hololens,na
participant-adress,291.1705,stop preview,hololens,2,407104
participant-adress,292.3096,start preview kinect,hololens,na
participant-adress,292.6562,stop preview,hololens,0,3465881
participant-adress,293.4438,start preview virtual,hololens,na
participant-adress,294.8546,stop preview,hololens,1,410828
participant-adress,295.8395,start preview kinect,hololens,na
participant-adress,297.2804,stop preview,hololens,1,440887
participant-adress,298.4868,kinect view,na,16,96689
participant-adress,306.2609,start preview hololens,kinect,na
participant-adress,306.769,stop preview,kinect,0,5081177
participant-adress,307.935,hololens view,na,9,448212
participant-adress,310.6418,start preview kinect,hololens,na
participant-adress,310.7313,stop preview,hololens,0,08947754
participant-adress,313.2526,start preview kinect,hololens,na
participant-adress,313.385,stop preview,hololens,0,1324158
participant-adress,315.4893,start preview kinect,hololens,na
participant-adress,315.8593,stop preview,hololens,0,3700256
participant-adress,317.1055,kinect view,na,9,170502
participant-adress,321.311,start preview hololens,kinect,na
participant-adress,321.7232,stop preview,kinect,0,4122009
participant-adress,322.915,hololens view,na,5,809509
participant-adress,383.814,start preview kinect,hololens,na
participant-adress,385.3784,stop preview,hololens,1,564392
participant-adress,386.8823,start preview virtual,hololens,na
participant-adress,389.3803,stop preview,hololens,2,498016
participant-adress,410.7357,start preview kinect,hololens,na
participant-adress,411.0813,stop preview,hololens,0,3456116
participant-adress,412.2636,kinect view,na,89,3486
participant-adress,422.7864,start preview hololens,kinect,na
participant-adress,424.8962,stop preview,kinect,2,109802
participant-adress,436.8362,start preview hololens,kinect,na
participant-adress,505.5481,stop preview,kinect,68,71188
participant-adress,514.9164,start preview hololens,kinect,na
participant-adress,517.5475,stop preview,kinect,2,631104
participant-adress,518.7778,hololens view,na,106,5142
participant-adress,524.0109,start preview kinect,hololens,na
