participant-adress,26.57563,start using stick,virtual,na
participant-adress,26.72663,stop using stick,virtual,0,1509991
participant-adress,60.52266,start preview hololens,virtual,na
participant-adress,60.56179,stop preview,virtual,0,03913116
participant-adress,62.18799,start preview hololens,virtual,na
participant-adress,62.2883,stop preview,virtual,0,1003113
participant-adress,162.8421,start use spherical camera,virtual,na
participant-adress,162.9763,stop use spherical camera,virtual,0,134201
participant-adress,162.9763,stop use spherical camera,virtual,0,134201
participant-adress,167.2425,start use spherical camera,virtual,na
participant-adress,168.2043,stop use spherical camera,virtual,0,9618073
participant-adress,168.2043,stop use spherical camera,virtual,0,9618073
participant-adress,169.567,start use spherical camera,virtual,na
participant-adress,172.3645,stop use spherical camera,virtual,2,797501
participant-adress,172.3645,stop use spherical camera,virtual,2,797501
participant-adress,201.6187,start preview hololens,virtual,na
participant-adress,202.8687,stop preview,virtual,1,25
participant-adress,202.9591,start preview kinect,virtual,na
participant-adress,204.6503,stop preview,virtual,1,691193
participant-adress,204.7679,start preview hololens,virtual,na
participant-adress,204.9068,stop preview,virtual,0,1389008
participant-adress,204.9839,start preview kinect,virtual,na
participant-adress,207.6508,stop preview,virtual,2,666901
participant-adress,207.699,start preview hololens,virtual,na
participant-adress,211.3628,stop preview,virtual,3,663788
participant-adress,213.7113,start preview hololens,virtual,na
participant-adress,213.8011,stop preview,virtual,0,08979797
participant-adress,213.9574,start preview hololens,virtual,na
participant-adress,213.9998,stop preview,virtual,0,04240417
participant-adress,214.049,start preview kinect,virtual,na
participant-adress,214.5932,stop preview,virtual,0,5442047
participant-adress,215.6926,kinect view,na,215,6926
participant-adress,219.4582,start preview hololens,kinect,na
participant-adress,219.491,stop preview,kinect,0,03279114
participant-adress,219.5078,start preview hololens,kinect,na
participant-adress,219.6399,stop preview,kinect,0,1320953
participant-adress,219.6899,start preview virtual,kinect,na
participant-adress,220.4458,stop preview,kinect,0,7559052
participant-adress,221.5576,virtual view,na,5,865005
participant-adress,223.0625,start preview kinect,virtual,na
participant-adress,224.3309,stop preview,virtual,1,268402
participant-adress,225.3249,start preview kinect,virtual,na
participant-adress,227.9035,stop preview,virtual,2,578598
participant-adress,228.269,start preview kinect,virtual,na
participant-adress,228.8542,stop preview,virtual,0,5852051
participant-adress,229.369,start preview kinect,virtual,na
participant-adress,231.7828,stop preview,virtual,2,413803
participant-adress,231.7994,start preview kinect,virtual,na
participant-adress,232.8862,kinect view,na,11,3286
participant-adress,233.4385,stop preview,kinect,1,639114
participant-adress,233.4523,start preview hololens,kinect,na
participant-adress,233.5208,stop preview,kinect,0,0684967
participant-adress,234.3811,start preview virtual,kinect,na
participant-adress,235.0801,stop preview,kinect,0,6989899
participant-adress,236.1971,virtual view,na,3,310898
participant-adress,243.3034,start preview hololens,virtual,na
participant-adress,243.3215,stop preview,virtual,0,01809692
participant-adress,258.4336,start preview hololens,virtual,na
participant-adress,261.4356,stop preview,virtual,3,002014
participant-adress,278.3203,reset virtual camera position,na,na
participant-adress,278.3203,virtual view,na,42,12321
participant-adress,293.7057,hololens view,na,15,38538
participant-adress,299.0132,reset virtual camera position,na,na
participant-adress,300.1462,virtual view,na,6,440521
participant-adress,309.2952,start preview hololens,virtual,na
participant-adress,309.5938,reset virtual camera position,na,na
participant-adress,309.5938,virtual view,na,9,447601
participant-adress,309.6802,stop preview,virtual,0,3850098
participant-adress,361.0411,reset virtual camera position,na,na
participant-adress,394.2251,start preview hololens,virtual,na
participant-adress,395.4557,stop preview,virtual,1,230591
participant-adress,395.7251,start preview kinect,virtual,na
participant-adress,397.1201,stop preview,virtual,1,394989
participant-adress,405.7413,show camera position,na,na
participant-adress,409.1161,show camera position,na,na
participant-adress,413.7905,show camera position,na,na
participant-adress,415.9487,show camera position,na,na
participant-adress,421.1974,start preview kinect,virtual,na
participant-adress,424.5422,stop preview,virtual,3,344818
participant-adress,424.9836,start preview hololens,virtual,na
participant-adress,427.0505,stop preview,virtual,2,066895
participant-adress,429.0062,show camera position,na,na
participant-adress,435.7703,start preview kinect,virtual,na
participant-adress,436.3481,stop preview,virtual,0,5778198
participant-adress,436.393,start preview kinect,virtual,na
participant-adress,437.486,kinect view,na,127,8922
participant-adress,438.222,stop preview,kinect,1,828979
participant-adress,439.4196,start preview virtual,kinect,na
participant-adress,440.0518,stop preview,kinect,0,6322021
participant-adress,441.1612,virtual view,na,3,675201
