participant-adress,32.50562,start preview kinect,virtual,na
participant-adress,32.66226,stop preview,virtual,0,1566391
participant-adress,33.45856,start preview hololens,virtual,na
participant-adress,34.21997,stop preview,virtual,0,7614098
participant-adress,34.21997,start preview kinect,virtual,na
participant-adress,34.27555,stop preview,virtual,0,05558014
participant-adress,34.33239,start preview kinect,virtual,na
participant-adress,34.54895,stop preview,virtual,0,2165604
participant-adress,34.82194,start preview kinect,virtual,na
participant-adress,35.8505,stop preview,virtual,1,028557
participant-adress,37.30476,start preview hololens,virtual,na
participant-adress,37.35678,stop preview,virtual,0,05202103
participant-adress,37.57133,start preview hololens,virtual,na
participant-adress,37.73357,stop preview,virtual,0,1622391
participant-adress,37.83873,start preview hololens,virtual,na
participant-adress,38.87833,stop preview,virtual,1,0396
participant-adress,39.78574,start preview hololens,virtual,na
participant-adress,40.00093,stop preview,virtual,0,2151909
participant-adress,42.31982,start using stick,virtual,na
participant-adress,52.55806,stop using stick,virtual,10,23824
participant-adress,54.79602,start use spherical camera,virtual,na
participant-adress,65.44968,stop use spherical camera,virtual,10,65366
participant-adress,65.51942,stop use spherical camera,virtual,10,7234
participant-adress,68.77768,start preview hololens,virtual,na
participant-adress,71.09588,stop preview,virtual,2,318199
participant-adress,71.46622,start preview hololens,virtual,na
participant-adress,76.95805,stop preview,virtual,5,491837
participant-adress,78.32697,start preview hololens,virtual,na
participant-adress,80.49242,stop preview,virtual,2,165443
participant-adress,80.54785,start preview kinect,virtual,na
participant-adress,82.32602,stop preview,virtual,1,778168
participant-adress,83.48956,kinect view,na,83,48956
participant-adress,95.8689,start using stick,kinect,na
participant-adress,105.0795,stop using stick,kinect,9,210602
participant-adress,113.2606,start preview hololens,kinect,na
participant-adress,113.7098,stop preview,kinect,0,4492035
participant-adress,114.7547,hololens view,na,31,26514
