participant-adress,10.35551,start using stick,virtual,na
participant-adress,13.33843,stop using stick,virtual,2,982921
participant-adress,12.95655,start using stick,virtual,na
participant-adress,15.61115,stop using stick,virtual,2,6546
participant-adress,62.77428,start using stick,virtual,na
participant-adress,70.56725,stop using stick,virtual,7,792973
participant-adress,74.35716,start using stick,virtual,na
participant-adress,102.1999,stop using stick,virtual,27,84274
participant-adress,16.53024,start using stick,virtual,na
participant-adress,22.80561,stop using stick,virtual,6,275372
participant-adress,36.97105,start using stick,virtual,na
participant-adress,56.94325,stop using stick,virtual,19,9722
participant-adress,69.6469,start using stick,virtual,na
participant-adress,72.13946,stop using stick,virtual,2,492561
participant-adress,106.4673,start using stick,virtual,na
participant-adress,109.154,stop using stick,virtual,2,686699
participant-adress,150.0729,start using stick,virtual,na
participant-adress,158.6146,stop using stick,virtual,8,541687
participant-adress,9.171401,start using stick,virtual,na
participant-adress,14.20234,stop using stick,virtual,5,030939
participant-adress,28.79357,start using stick,virtual,na
participant-adress,42.43134,stop using stick,virtual,13,63777
participant-adress,55.29644,start using stick,virtual,na
participant-adress,60.96143,stop using stick,virtual,5,664989
participant-adress,69.05493,start using stick,virtual,na
participant-adress,73.28428,stop using stick,virtual,4,229347
participant-adress,9.932134,start using stick,virtual,na
participant-adress,23.93925,stop using stick,virtual,14,00712
participant-adress,8.161407,start using stick,virtual,na
participant-adress,10.31647,stop using stick,virtual,2,155063
participant-adress,15.53563,start preview kinect,virtual,na
participant-adress,16.00425,start using stick,virtual,na
participant-adress,18.34848,stop using stick,virtual,2,344231
participant-adress,18.34848,stop preview,virtual,2,81285
participant-adress,69.99737,start using stick,virtual,na
participant-adress,72.50879,stop using stick,virtual,2,511421
participant-adress,139.1575,start using stick,virtual,na
participant-adress,148.89,stop using stick,virtual,9,732498
participant-adress,156.4433,start preview kinect,virtual,na
participant-adress,157.6627,start using stick,virtual,na
participant-adress,164.42,stop using stick,virtual,6,757294
participant-adress,164.42,stop preview,virtual,7,9767
participant-adress,167.0654,start using stick,virtual,na
participant-adress,182.6099,stop using stick,virtual,15,54449
participant-adress,207.9066,start using stick,virtual,na
participant-adress,220.322,stop using stick,virtual,12,41541
participant-adress,36.92355,start using stick,virtual,na
participant-adress,53.64212,stop using stick,virtual,16,71857
participant-adress,68.76328,start using stick,virtual,na
participant-adress,71.85285,stop using stick,virtual,3,089569
participant-adress,115.8033,start using stick,virtual,na
participant-adress,121.2754,stop using stick,virtual,5,472099
participant-adress,631.9472,start using stick,virtual,na
participant-adress,642.7614,stop using stick,virtual,10,81421
participant-adress,643.5778,start using stick,virtual,na
participant-adress,644.6678,stop using stick,virtual,1,089966
participant-adress,645.5374,start using stick,virtual,na
participant-adress,648.807,stop using stick,virtual,3,269592
participant-adress,649.4481,start using stick,virtual,na
participant-adress,650.5982,stop using stick,virtual,1,150085
participant-adress,651.0689,start using stick,virtual,na
