participant-adress,9.591431,reset virtual camera position,na,na
participant-adress,9.591431,virtual view,na,9,591431
participant-adress,38.2621,start preview hololens,virtual,na
participant-adress,38.69522,stop preview,virtual,0,4331207
participant-adress,38.86237,start preview kinect,virtual,na
participant-adress,40.06103,stop preview,virtual,1,198662
participant-adress,40.09506,start preview hololens,virtual,na
participant-adress,40.1268,stop preview,virtual,0,0317421
participant-adress,40.14444,start preview hololens,virtual,na
participant-adress,40.49683,stop preview,virtual,0,3523903
participant-adress,40.5448,start preview kinect,virtual,na
participant-adress,41.11256,stop preview,virtual,0,5677605
participant-adress,42.00985,start preview hololens,virtual,na
participant-adress,42.0272,stop preview,virtual,0,01734924
participant-adress,42.31014,start preview kinect,virtual,na
participant-adress,42.36008,stop preview,virtual,0,04994202
participant-adress,42.37636,start preview kinect,virtual,na
participant-adress,44.20897,stop preview,virtual,1,832607
participant-adress,44.34235,start preview hololens,virtual,na
participant-adress,44.94351,stop preview,virtual,0,6011581
participant-adress,45.27639,start preview hololens,virtual,na
participant-adress,45.29294,stop preview,virtual,0,01654816
participant-adress,45.30998,start preview kinect,virtual,na
participant-adress,45.32599,stop preview,virtual,0,01601028
participant-adress,45.59229,start preview kinect,virtual,na
participant-adress,47.35846,stop preview,virtual,1,766171
participant-adress,47.44175,start preview hololens,virtual,na
participant-adress,47.84189,stop preview,virtual,0,4001389
participant-adress,53.55648,start preview hololens,virtual,na
participant-adress,53.67156,stop preview,virtual,0,115078
participant-adress,53.69092,start preview kinect,virtual,na
participant-adress,53.73915,stop preview,virtual,0,04822922
participant-adress,53.9724,start preview kinect,virtual,na
participant-adress,54.02221,stop preview,virtual,0,0498085
participant-adress,54.03946,start preview kinect,virtual,na
participant-adress,54.97054,stop preview,virtual,0,9310799
participant-adress,56.55574,start preview hololens,virtual,na
participant-adress,56.57042,stop preview,virtual,0,01467896
participant-adress,56.85282,start preview kinect,virtual,na
participant-adress,57.63534,stop preview,virtual,0,7825203
participant-adress,57.66936,start preview hololens,virtual,na
participant-adress,57.73645,stop preview,virtual,0,06708908
participant-adress,57.75296,start preview hololens,virtual,na
participant-adress,58.45313,stop preview,virtual,0,7001686
participant-adress,58.46923,start preview hololens,virtual,na
participant-adress,58.48907,stop preview,virtual,0,01984024
participant-adress,58.52008,start preview kinect,virtual,na
participant-adress,59.1369,stop preview,virtual,0,6168213
participant-adress,59.32373,start preview kinect,virtual,na
participant-adress,60.5369,stop preview,virtual,1,213169
participant-adress,61.65115,kinect view,na,52,05972
participant-adress,63.00036,start preview hololens,kinect,na
participant-adress,63.1168,stop preview,kinect,0,1164398
participant-adress,63.13302,start preview hololens,kinect,na
participant-adress,63.16612,stop preview,kinect,0,03310013
participant-adress,63.3829,start preview hololens,kinect,na
participant-adress,63.4155,stop preview,kinect,0,0326004
participant-adress,64.63219,start preview hololens,kinect,na
participant-adress,65.59833,stop preview,kinect,0,9661407
participant-adress,71.67985,start preview hololens,kinect,na
participant-adress,72.71136,stop preview,kinect,1,031509
participant-adress,90.97523,start preview virtual,kinect,na
participant-adress,91.0144,stop preview,kinect,0,03916931
participant-adress,91.10133,start preview hololens,kinect,na
participant-adress,91.4979,stop preview,kinect,0,3965683
participant-adress,92.54765,hololens view,na,30,8965
participant-adress,97.61807,start preview virtual,hololens,na
participant-adress,100.1906,stop preview,hololens,2,572525
participant-adress,101.3088,virtual view,na,8,761147
participant-adress,121.5341,start using stick,virtual,na
participant-adress,127.295,stop using stick,virtual,5,760895
participant-adress,128.6958,start using stick,virtual,na
participant-adress,129.8767,stop using stick,virtual,1,180893
participant-adress,130.7589,start using stick,virtual,na
participant-adress,139.5737,stop using stick,virtual,8,814804
participant-adress,149.8436,start using stick,virtual,na
participant-adress,164.7112,stop using stick,virtual,14,8676
participant-adress,167.3084,start using stick,virtual,na
participant-adress,169.176,stop using stick,virtual,1,867599
participant-adress,171.2941,start using stick,virtual,na
participant-adress,171.6905,stop using stick,virtual,0,3964081
participant-adress,171.7758,start using stick,virtual,na
participant-adress,172.525,stop using stick,virtual,0,7491913
participant-adress,173.0243,start using stick,virtual,na
participant-adress,173.2407,stop using stick,virtual,0,2164001
participant-adress,173.5246,start using stick,virtual,na
participant-adress,177.3665,stop using stick,virtual,3,841904
participant-adress,192.879,start use spherical camera,virtual,na
participant-adress,217.9206,stop use spherical camera,virtual,25,0416
participant-adress,217.9206,stop use spherical camera,virtual,25,0416
participant-adress,219.4182,virtual view,na,118,1094
participant-adress,229.9647,start using stick,virtual,na
participant-adress,230.1521,stop using stick,virtual,0,1873932
participant-adress,235.4951,start use spherical camera,virtual,na
participant-adress,237.3831,stop use spherical camera,virtual,1,888
participant-adress,237.3831,stop use spherical camera,virtual,1,888
participant-adress,238.86,virtual view,na,19,4418
participant-adress,257.0139,start use spherical camera,virtual,na
participant-adress,259.4265,stop use spherical camera,virtual,2,412628
participant-adress,259.4265,stop use spherical camera,virtual,2,412628
participant-adress,260.9176,virtual view,na,22,0576
participant-adress,263.7222,start use spherical camera,virtual,na
participant-adress,264.8826,stop use spherical camera,virtual,1,1604
participant-adress,264.8968,stop use spherical camera,virtual,1,174591
participant-adress,274.2973,start preview hololens,virtual,na
participant-adress,276.1709,stop preview,virtual,1,873596
participant-adress,285.5606,start preview hololens,virtual,na
participant-adress,286.7849,stop preview,virtual,1,224304
participant-adress,287.4141,start preview hololens,virtual,na
participant-adress,290.1608,stop preview,virtual,2,746704
participant-adress,290.194,start preview hololens,virtual,na
participant-adress,291.2578,stop preview,virtual,1,063812
