participant-adress,50.22755,start preview kinect,virtual,na
participant-adress,50.31367,stop preview,virtual,0,08612061
participant-adress,87.45589,start preview kinect,virtual,na
participant-adress,87.63336,stop preview,virtual,0,177475
participant-adress,37.65256,start preview kinect,virtual,na
participant-adress,37.91538,stop preview,virtual,0,2628174
participant-adress,39.07447,start preview kinect,virtual,na
participant-adress,39.48117,stop preview,virtual,0,4067001
