participant-adress,8.154718,start preview kinect,virtual,na
participant-adress,10.56245,stop preview,virtual,2,407732
participant-adress,11.7325,kinect view,na,11,7325
participant-adress,16.28032,start preview hololens,kinect,na
participant-adress,16.47043,stop preview,kinect,0,1901112
participant-adress,16.51687,start preview virtual,kinect,na
participant-adress,17.05412,stop preview,kinect,0,5372486
participant-adress,17.05412,start preview hololens,kinect,na
participant-adress,17.71595,stop preview,kinect,0,6618309
participant-adress,17.71595,start preview virtual,kinect,na
participant-adress,18.06108,stop preview,kinect,0,3451309
participant-adress,19.24199,virtual view,na,7,509489
participant-adress,19.44435,start preview hololens,virtual,na
participant-adress,19.49686,stop preview,virtual,0,05251122
participant-adress,19.49686,start preview kinect,virtual,na
participant-adress,19.64327,stop preview,virtual,0,14641
participant-adress,19.77136,start preview kinect,virtual,na
participant-adress,20.34433,stop preview,virtual,0,5729694
participant-adress,21.5048,kinect view,na,2,262812
participant-adress,4.141547,start preview kinect,kinect,na
participant-adress,4.454927,stop preview,kinect,0,3133798
participant-adress,5.907263,start preview kinect,kinect,na
participant-adress,6.658771,stop preview,kinect,0,7515082
participant-adress,6.676146,start preview hololens,kinect,na
participant-adress,7.354217,stop preview,kinect,0,678071
participant-adress,7.369273,start preview kinect,kinect,na
participant-adress,7.988152,stop preview,kinect,0,6188788
participant-adress,9.076519,kinect view,na,-12,42828
