participant-adress,30.06486,start using stick,virtual,na
participant-adress,30.14894,stop using stick,virtual,0,08407974
participant-adress,51.51472,start preview hololens,virtual,na
participant-adress,83.58121,stop preview,virtual,32,06649
participant-adress,188.0611,start preview hololens,virtual,na
participant-adress,214.1613,stop preview,virtual,26,1002
participant-adress,221.0289,start preview hololens,virtual,na
participant-adress,221.3611,stop preview,virtual,0,3321991
participant-adress,225.0116,start preview hololens,virtual,na
participant-adress,226.7111,stop preview,virtual,1,699509
participant-adress,227.2112,start preview hololens,virtual,na
participant-adress,230.2944,stop preview,virtual,3,083206
participant-adress,230.8773,start preview hololens,virtual,na
participant-adress,238.5266,stop preview,virtual,7,649292
participant-adress,239.5591,hololens view,na,239,5591
participant-adress,1149.47,reset virtual camera position,na,na
participant-adress,1150.57,virtual view,na,911,0109
participant-adress,1168.853,start use spherical camera,virtual,na
participant-adress,1169.337,stop use spherical camera,virtual,0,4840088
participant-adress,1169.337,stop use spherical camera,virtual,0,4840088
participant-adress,1170.77,virtual view,na,20,20007
participant-adress,1188.036,start use spherical camera,virtual,na
participant-adress,1188.536,stop use spherical camera,virtual,0,5
participant-adress,1188.536,stop use spherical camera,virtual,0,5
participant-adress,1189.936,virtual view,na,19,16602
participant-adress,1196.602,start use spherical camera,virtual,na
participant-adress,1197.236,stop use spherical camera,virtual,0,6339111
participant-adress,1197.236,stop use spherical camera,virtual,0,6339111
participant-adress,1198.552,virtual view,na,8,615967
participant-adress,1220.301,start use spherical camera,virtual,na
participant-adress,1220.603,stop use spherical camera,virtual,0,302002
participant-adress,1220.603,stop use spherical camera,virtual,0,302002
participant-adress,1222.002,virtual view,na,23,44995
participant-adress,1231.317,start use spherical camera,virtual,na
participant-adress,1240.018,stop use spherical camera,virtual,8,700928
participant-adress,1240.018,stop use spherical camera,virtual,8,700928
participant-adress,1241.351,virtual view,na,19,349
participant-adress,1253.834,start preview hololens,virtual,na
participant-adress,1257.385,start use spherical camera,virtual,na
participant-adress,1295.05,stop preview,virtual,41,21606
participant-adress,1295.05,stop use spherical camera,virtual,37,66504
participant-adress,1295.05,stop use spherical camera,virtual,37,66504
participant-adress,1296.466,virtual view,na,55,11499
participant-adress,1309.517,reset virtual camera position,na,na
participant-adress,1313.7,start preview hololens,virtual,na
participant-adress,1313.733,stop preview,virtual,0,03308105
participant-adress,1330.916,start preview hololens,virtual,na
participant-adress,1330.932,stop preview,virtual,0,01599121
participant-adress,1331.166,start preview hololens,virtual,na
participant-adress,1332.25,stop preview,virtual,1,083984
participant-adress,1332.283,start preview kinect,virtual,na
participant-adress,1334.099,stop preview,virtual,1,81604
participant-adress,1334.382,start preview kinect,virtual,na
participant-adress,1338.616,stop preview,virtual,4,234009
participant-adress,1351.482,start preview hololens,virtual,na
participant-adress,1354.632,start using stick,virtual,na
participant-adress,1385.799,stop using stick,virtual,31,16699
participant-adress,1385.799,stop preview,virtual,34,31689
participant-adress,1394.264,start using stick,virtual,na
participant-adress,1424.781,stop using stick,virtual,30,51697
participant-adress,1430.963,start using stick,virtual,na
participant-adress,1440.146,stop using stick,virtual,9,182983
participant-adress,1468.913,start use spherical camera,virtual,na
participant-adress,1505.911,stop use spherical camera,virtual,36,99805
participant-adress,1505.911,stop use spherical camera,virtual,36,99805
participant-adress,1507.31,virtual view,na,210,8441
participant-adress,1519.544,start use spherical camera,virtual,na
participant-adress,1521.061,stop use spherical camera,virtual,1,51709
participant-adress,1521.077,stop use spherical camera,virtual,1,533081
participant-adress,1521.227,start use spherical camera,virtual,na
participant-adress,1521.411,stop use spherical camera,virtual,0,18396
participant-adress,1521.411,stop use spherical camera,virtual,0,18396
participant-adress,1522.793,virtual view,na,15,48291
participant-adress,1527.077,reset virtual camera position,na,na
participant-adress,1556.824,reset virtual camera position,na,na
participant-adress,1558.774,start preview hololens,virtual,na
participant-adress,1561.924,stop preview,virtual,3,149902
participant-adress,22.45872,start preview hololens,virtual,na
participant-adress,26.47537,reset virtual camera position,na,na
participant-adress,26.47537,stop preview,virtual,4,016651
participant-adress,26.50835,virtual view,na,-1496,285
participant-adress,116.0744,start preview hololens,virtual,na
participant-adress,141.5747,start using stick,virtual,na
participant-adress,147.9067,stop using stick,virtual,6,331985
participant-adress,147.9067,stop preview,virtual,31,83229
participant-adress,148.4064,start preview hololens,virtual,na
participant-adress,148.6064,stop preview,virtual,0,1999969
participant-adress,148.6064,start preview hololens,virtual,na
participant-adress,150.8562,stop preview,virtual,2,249802
participant-adress,151.9727,start preview hololens,virtual,na
participant-adress,157.7558,stop preview,virtual,5,783096
participant-adress,157.9724,start preview hololens,virtual,na
participant-adress,163.7891,start using stick,virtual,na
participant-adress,169.7064,stop using stick,virtual,5,917313
participant-adress,169.7064,stop preview,virtual,11,73401
participant-adress,170.8555,start preview hololens,virtual,na
participant-adress,177.789,stop preview,virtual,6,933502
participant-adress,186.1544,start preview kinect,virtual,na
participant-adress,186.2375,stop preview,virtual,0,08309937
participant-adress,186.4376,start preview kinect,virtual,na
participant-adress,189.238,stop preview,virtual,2,8004
participant-adress,189.3712,start preview hololens,virtual,na
participant-adress,189.621,stop preview,virtual,0,2498016
participant-adress,189.6877,start preview kinect,virtual,na
participant-adress,193.1874,stop preview,virtual,3,499695
participant-adress,194.2875,kinect view,na,167,7792
participant-adress,204.6877,virtual view,na,10,40019
participant-adress,206.8207,start preview kinect,virtual,na
participant-adress,206.8376,stop preview,virtual,0,01690674
participant-adress,207.0716,start preview hololens,virtual,na
participant-adress,207.6216,stop preview,virtual,0,5500031
participant-adress,207.6377,start preview kinect,virtual,na
participant-adress,210.1874,stop preview,virtual,2,549698
participant-adress,211.3036,kinect view,na,6,615906
participant-adress,222.0706,start using stick,kinect,na
participant-adress,280.2528,stop using stick,kinect,58,18221
participant-adress,280.8184,virtual view,na,69,51479
participant-adress,282.4689,start preview hololens,virtual,na
participant-adress,282.7019,stop preview,virtual,0,2330017
participant-adress,282.7851,start preview hololens,virtual,na
participant-adress,303.0858,stop preview,virtual,20,30069
participant-adress,303.3017,start preview kinect,virtual,na
participant-adress,303.6682,stop preview,virtual,0,3665161
participant-adress,304.7352,kinect view,na,23,91681
participant-adress,307.9854,start preview hololens,kinect,na
participant-adress,308.1855,stop preview,kinect,0,2000732
participant-adress,308.2515,start preview hololens,kinect,na
participant-adress,310.5846,stop preview,kinect,2,333099
participant-adress,311.3515,virtual view,na,6,616302
participant-adress,323.0343,start preview hololens,virtual,na
participant-adress,323.0854,stop preview,virtual,0,05108643
participant-adress,323.1015,start preview hololens,virtual,na
participant-adress,345.1515,stop preview,virtual,22,04999
participant-adress,515.3625,start preview hololens,virtual,na
participant-adress,516.1621,stop preview,virtual,0,7996216
participant-adress,517.1461,hololens view,na,205,7946
participant-adress,528.2954,start freeze hololens view,na,na
participant-adress,528.2954,start using stick,hololens,na
participant-adress,537.9465,hololens view,na,20,80035
participant-adress,537.9465,stop using stick,hololens,9,651062
participant-adress,540.2622,start preview virtual,hololens,na
participant-adress,540.762,stop preview,hololens,0,4998169
participant-adress,541.8122,virtual view,na,3,865723
participant-adress,547.5619,start using stick,virtual,na
participant-adress,551.6448,stop using stick,virtual,4,082886
participant-adress,552.4785,start preview hololens,virtual,na
participant-adress,552.5283,stop preview,virtual,0,04980469
participant-adress,552.5784,start preview hololens,virtual,na
participant-adress,553.9951,stop preview,virtual,1,416687
participant-adress,554.3613,start preview hololens,virtual,na
participant-adress,556.6621,stop preview,virtual,2,300781
participant-adress,557.4121,start preview hololens,virtual,na
participant-adress,559.112,stop preview,virtual,1,69989
participant-adress,560.5787,start preview hololens,virtual,na
participant-adress,560.9794,stop preview,virtual,0,4006958
participant-adress,561.9112,hololens view,na,20,099
participant-adress,567.5948,virtual view,na,5,683594
participant-adress,568.9119,start preview hololens,virtual,na
participant-adress,569.1614,stop preview,virtual,0,2494507
participant-adress,569.1783,start preview hololens,virtual,na
participant-adress,569.2115,stop preview,virtual,0,03320313
participant-adress,581.2614,start preview hololens,virtual,na
participant-adress,581.9947,stop preview,virtual,0,7332764
participant-adress,582.9443,hololens view,na,15,34949
participant-adress,584.0439,virtual view,na,1,099609
participant-adress,586.461,start preview kinect,virtual,na
participant-adress,586.6445,stop preview,virtual,0,1834717
participant-adress,651.2854,start preview hololens,virtual,na
participant-adress,651.6354,stop preview,virtual,0,3499756
participant-adress,652.2684,start preview hololens,virtual,na
participant-adress,652.6169,stop preview,virtual,0,3485107
participant-adress,652.6169,hololens view,na,68,573
participant-adress,682.916,start freeze hololens view,na,na
participant-adress,682.916,start using stick,hololens,na
participant-adress,687.2836,stop using stick,hololens,4,367615
participant-adress,687.3203,hololens view,na,34,70343
participant-adress,687.3203,virtual view,na,0
participant-adress,688.6219,start preview hololens,virtual,na
participant-adress,688.6552,stop preview,virtual,0,0333252
participant-adress,688.8214,start preview hololens,virtual,na
participant-adress,689.205,stop preview,virtual,0,383606
participant-adress,690.0723,hololens view,na,2,752014
participant-adress,755.6699,start preview virtual,hololens,na
participant-adress,755.6858,stop preview,hololens,0,01586914
participant-adress,755.7535,start preview virtual,hololens,na
participant-adress,755.77,stop preview,hololens,0,01654053
participant-adress,755.7869,start preview virtual,hololens,na
participant-adress,756.3533,stop preview,hololens,0,5663452
participant-adress,757.4368,virtual view,na,67,3645
participant-adress,786.2439,start using stick,virtual,na
participant-adress,786.9104,stop using stick,virtual,0,6665039
participant-adress,790.2941,start preview hololens,virtual,na
participant-adress,805.1605,stop preview,virtual,14,86639
participant-adress,806.7933,start using stick,virtual,na
participant-adress,815.2095,stop using stick,virtual,8,416199
