participant-adress,9.494442,start preview hololens,virtual,na
participant-adress,10.36971,stop preview,virtual,0,875268
participant-adress,10.42116,start preview kinect,virtual,na
participant-adress,11.27145,stop preview,virtual,0,8502903
participant-adress,103.669,start preview hololens,virtual,na
participant-adress,105.4382,stop preview,virtual,1,769203
participant-adress,105.5392,start preview kinect,virtual,na
participant-adress,109.3763,stop preview,virtual,3,837097
participant-adress,113.3804,show camera position,na,na
participant-adress,116.1252,reset virtual camera position,na,na
