participant-adress,33.51707,start preview hololens,virtual,na
participant-adress,40.12151,stop preview,virtual,6,604439
participant-adress,40.1333,start preview hololens,virtual,na
participant-adress,40.18374,stop preview,virtual,0,05043793
participant-adress,40.2203,start preview kinect,virtual,na
participant-adress,40.41832,stop preview,virtual,0,1980209
participant-adress,40.68814,start preview kinect,virtual,na
participant-adress,41.38592,stop preview,virtual,0,6977806
participant-adress,41.43361,start preview hololens,virtual,na
participant-adress,42.4341,stop preview,virtual,1,000492
participant-adress,43.18745,start preview hololens,virtual,na
participant-adress,43.90649,stop preview,virtual,0,7190399
participant-adress,43.98709,start preview kinect,virtual,na
participant-adress,45.45457,stop preview,virtual,1,46748
participant-adress,45.60528,start preview hololens,virtual,na
participant-adress,45.63727,stop preview,virtual,0,03199005
participant-adress,45.80322,start preview hololens,virtual,na
participant-adress,45.8876,stop preview,virtual,0,0843811
participant-adress,45.90902,start preview kinect,virtual,na
participant-adress,46.38939,stop preview,virtual,0,4803696
participant-adress,54.80175,start preview hololens,virtual,na
participant-adress,56.0807,stop preview,virtual,1,27895
participant-adress,56.76299,start preview kinect,virtual,na
participant-adress,58.7981,stop preview,virtual,2,03511
participant-adress,63.07228,start preview kinect,virtual,na
participant-adress,73.25008,stop preview,virtual,10,1778
participant-adress,79.033,start preview kinect,virtual,na
participant-adress,79.75002,stop preview,virtual,0,7170258
participant-adress,85.9055,start preview kinect,virtual,na
participant-adress,90.95756,stop preview,virtual,5,052055
participant-adress,96.96532,start preview kinect,virtual,na
participant-adress,101.9189,stop preview,virtual,4,953583
participant-adress,103.601,start preview kinect,virtual,na
participant-adress,106.6414,stop preview,virtual,3,040405
participant-adress,112.493,start preview hololens,virtual,na
participant-adress,114.5832,stop preview,virtual,2,090202
participant-adress,132.4785,start using stick,virtual,na
participant-adress,157.9866,stop using stick,virtual,25,5081
participant-adress,167.1623,start using stick,virtual,na
participant-adress,171.0926,stop using stick,virtual,3,930313
participant-adress,175.438,start using stick,virtual,na
participant-adress,181.3524,stop using stick,virtual,5,914398
participant-adress,210.1853,start use spherical camera,virtual,na
participant-adress,222.0123,stop use spherical camera,virtual,11,827
participant-adress,222.3456,stop use spherical camera,virtual,12,16029
participant-adress,229.9896,start use spherical camera,virtual,na
participant-adress,236.4189,stop use spherical camera,virtual,6,429306
participant-adress,236.4189,stop use spherical camera,virtual,6,429306
participant-adress,237.8784,virtual view,na,237,8784
participant-adress,245.2718,start preview hololens,virtual,na
participant-adress,246.4078,stop preview,virtual,1,136002
participant-adress,246.4264,start preview hololens,virtual,na
participant-adress,246.46,stop preview,virtual,0,03359985
participant-adress,246.5266,start preview kinect,virtual,na
participant-adress,246.9934,stop preview,virtual,0,4667969
participant-adress,248.0768,kinect view,na,10,19839
participant-adress,250.1277,start use spherical camera,kinect,na
participant-adress,270.6432,stop use spherical camera,kinect,20,51549
participant-adress,270.6616,stop use spherical camera,kinect,20,53389
participant-adress,271.9462,start use spherical camera,kinect,na
participant-adress,274.5549,stop use spherical camera,kinect,2,608704
participant-adress,274.5549,stop use spherical camera,kinect,2,608704
participant-adress,275.9663,virtual view,na,27,88951
participant-adress,277.4013,start using stick,virtual,na
participant-adress,280.3937,stop using stick,virtual,2,992401
participant-adress,307.96,reset virtual camera position,na,na
participant-adress,313.3513,start preview hololens,virtual,na
